SpeciesCode,AreaRange_km2,nHUCs,Prop_CONUS,AreaHab_km2,PropHab_CONUS,ScientificName,CommonName,LogAreaRange,LogAreaHabitat
aCSLSx,88077.73339535373,922,0.010869051180265044,43697.4588,0.005394290088903567,Batrachoseps attenuatus,California Slender Salamander,4.944866129912873,4.6404561815647645
aCSMSx,10128.942978072106,149,0.0012499413346218047,5313.8061,0.0006559697604105372,Plethodon chattahoochee,Chattahoochee Slimy Salamander,4.005564126234653,3.7254057030218646
aCTFRx,219921.8898925752,2570,0.027139007610169817,59299.7166,0.0073203312575735036,Ascaphus truei,Coastal Tailed Frog,5.342268458948863,4.773052617827158
aCTGSx,38873.69694862673,395,0.0047971284615621786,11693.725199999999,0.001443547237779463,Ambystoma californiense,California Tiger Salamander,4.589655844671406,4.067952883795271
aCTOSx,18819.3761956473,229,0.002322366336710732,4082.5881,0.0005039804402746104,Rhyacotriton kezeri,Columbia Torrent Salamander,4.274605223805472,3.61093556534527
aCTRSx,33884.86685224909,438,0.00418149216443154,4959.8712,0.0006122778026716337,Rhyacotriton cascadae,Cascade Torrent Salamander,4.530005783455545,3.695470398696737
aCUDSx,3272.6234509898995,30,0.0004038513527917514,183.8304,2.2693184729524325e-05,Desmognathus abditus,Cumberland Dusky Salamander,3.514896038132637,2.264417332189036
aCUTRx,57477.37898381771,291,0.007092877504901374,22301.8299,0.0027530786296887187,Osteopilus septentrionalis,Cuban Treefrog,4.759496955724921,4.348340499051197
aCVSAx,435627.9387061863,4803,0.05375776803993772,201881.4579,0.02492152123691396,Eurycea lucifuga,Cave Salamander,5.6391157251627755,5.305096432358651
aCWFRx,718713.1730907711,7366,0.08869131801098736,553821.7788,0.06836725554392614,Lithobates areolatus,Crawfish Frog,5.856555604990604,5.743370030186526
aCYTRx,569355.7319368635,6000,0.07026017077916177,41944.7178,0.005177920678316357,Hyla arenicolor,Canyon Treefrog,5.755383697228002,4.622677276851188
aDASAx,19952.305376552697,202,0.0024621731275553983,1273.5521999999999,0.00015721532095503308,Eurycea aquatica,Dark-sided Salamander,4.299993083204275,3.1050167504047375
aDBBSx,3871.198215805399,52,0.0004777172381091178,84.3687,1.0415004778806002e-05,Desmognathus folkertsi,Dwarf Black-bellied Salamander,3.587845408938848,1.9261813573070856
aDGFRx,895.8471119107999,8,0.00011055016669587407,131.0292,1.6175071373188487e-05,Lithobates sevosus,Dusky Gopher Frog,2.952233897922113,2.1173680894399993
aDUSAx,85151.30468262709,1052,0.010507921275715286,9155.3652,0.001130196059791299,Plethodon dunni,Dunn's Salamander,4.930191306580766,3.9616756726335045
aDWSAx,782329.4493174965,7496,0.09654175347919428,103577.43149999999,0.012786251821456908,Eurycea quadridigitata,Dwarf Salamander,5.8933896787508955,5.015265137235964
aDWWAx,203113.8093359754,2198,0.025064841066945193,19356.3027,0.0023894641629006435,Necturus punctatus,Dwarf Waterdog,5.3077394512951805,4.286822405124526
aEANEx,3081428.4075726727,31397,0.38025732247097954,552854.1438,0.06824780457278233,Notophthalmus viridescens,Eastern Newt,6.488752081994547,5.742610569102198
aEASPx,1277346.6354501669,13034,0.15762832920924827,490734.2718,0.0605793355346341,Scaphiopus holbrookii,Eastern Spadefoot,6.106308768394979,5.690846389209524
aENMTx,1703370.505694284,16730,0.2102009269725573,1099006.2432,0.13566826648823122,Gastrophryne carolinensis,Eastern Narrow-mouthed Toad,6.231309123052088,6.041000159556892
aENSAx,415396.45532844256,4555,0.05126114352647155,178431.8139,0.022026749190867268,Ensatina eschscholtzii,Ensatina,5.618462786282215,5.251472290451616
aERBSx,1354130.3902453359,14348,0.16710367023483416,517173.91469999996,0.06384321191477774,Plethodon cinereus,Eastern Red-backed Salamander,6.131660484908646,5.7136366117467485
aETSAx,1748129.2618073965,19219,0.21572428903246338,152979.3225,0.018884733021796052,Ambystoma tigrinum,Eastern Tiger Salamander,6.24257354249411,5.184632733229214
aFBFRx,9877.365168781404,98,0.0012188958935143949,374.3073,4.620685536510545e-05,Lithobates okaloosae,Florida Bog Frog,3.9946411100463326,2.573228297108551
aFBSAx,3412.3749148598,32,0.0004210970941927107,243.8658,3.0104333388891247e-05,Eurycea pterophila,Fern Bank Salamander,3.5330567406988345,2.387150898662547
aFFSAx,127055.47843708323,1177,0.01567901948233568,19849.005,0.0024502864442565104,Ambystoma cingulatum,Frosted Flatwoods Salamander,5.1039933959011385,4.297738741132376
aFMSAx,1170.6082323053001,12,0.0001444564965341976,543.3282,6.707186195188576e-05,Plethodon fourchensis,Fourch Mountain Salamander,3.0684115739659235,2.7350622465145924
aFOTOx,2202729.365949532,23687,0.2718232780504453,1613163.4119,0.19913907223808708,Anaxyrus fowleri,Fowler's Toad,6.342961141683321,6.2076783632301185
aFTSAx,1618680.3422596133,17042,0.19974991188223248,107892.7083,0.01331895682335774,Hemidactylium scutatum,Four-toed Salamander,6.209161092546137,5.032992094802649
aFYLFx,272464.7228868133,3024,0.033622947636272014,20951.0469,0.0025863294513781615,Rana boylii,Foothill Yellow-legged Frog,5.435310280383797,4.321205729046153
aGBSAx,16588.141034348308,212,0.0020470253597295396,520.8705,6.429954173335695e-05,Haideotriton wallacei,Georgia Blind Salamander,4.219797719131024,2.7167297614449635
aGBSPx,1057638.9879665445,10417,0.13051575974204743,974432.3687999999,0.12029008124666202,Spea intermontana,Great Basin Spadefoot,6.024337451924695,5.9887517019695675
aGCTOx,541140.7931659451,4746,0.06677836440509659,364200.093,0.044959157946449224,Ollotis nebulifer,Gulf Coast Toad,5.733310273868074,5.561340052357807
aGESAx,1209.7841608513,11,0.00014929092126319887,98.6985,1.2183965726163663e-05,Eurycea naufragia,Georgetown Salamander,3.082707894190253,1.994310552399393
